lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,2.0,45.2,12,5.75,4.17,22.08,18.852243139531684
55,30,2.0,45.2,12,5.75,4.17,17.11,18.852243139531684
40,30,0.38,41.76,14,5.0,5.0,13.25,13.249428441225696
60,30,1.0,27.5,12,6.58,5.0,19.0,18.94460777171401
50,20,1.0,24.0,16,4.19,4.69,14.48,15.214715472267544
65,35,0.75,42.02,20,3.25,5.0,12.61,12.565038637129202
0,0,0.0,39.92,14,5.0,5.0,12.67,12.628388601698656
40,30,1.0,26.8,14,5.0,5.0,10.69,10.711742419331122
0,0,0.0,44.0,12,5.0,5.0,17.39,17.447332266461398
55,30,0.0,39.6,12,5.75,4.17,18.97,15.313487267354262
40,30,0.25,24.88,14,2.86,5.0,8.64,8.614932356832712
55,30,1.0,56.4,12,5.75,4.17,24.32,22.77248694026136
55,30,1.0,56.4,12,5.75,4.17,20.39,22.77248694026136
0,0,0.0,34.05,16,1.56,5.0,12.56,11.29398764917902
0,0,0.0,45.28,12,5.75,5.0,17.36,18.81233177722917
0,0,0.0,60.32,14,5.0,5.0,14.65,14.668510613503269
50,30,0.3,34.32,16,0.94,5.0,8.47,8.314366126092656
55,30,2.0,45.2,12,5.75,4.17,17.92,18.852243139531684
0,0,0.0,45.28,16,4.19,7.0,11.28,9.830657267244298
55,30,0.0,50.1,12,5.75,4.17,16.74,16.804374518858353
0,0,0.0,39.92,14,2.86,5.0,10.75,10.748587048446264
40,32,2.0,49.14,16,6.0,5.0,21.66,21.52734119991948
65,60,0.7,43.5,16,4.19,9.38,12.31,12.329710106442242
40,32,1.6,41.22,20,6.0,5.0,18.81,18.794068268195605
65,35,1.0,44.59,16,4.19,5.0,19.12,18.130132410400357
55,30,1.0,56.4,12,5.75,4.17,23.0,22.77248694026136
80,60,0.25,63.2,14,5.0,5.0,15.3,15.342119280426246
80,50,0.77,44.0,16,5.0,5.0,17.6,21.946040641147704
55,30,1.0,56.4,12,5.75,4.17,24.12,22.77248694026136
40,32,0.0,33.29,14,6.0,5.0,15.68,15.646811384996665
80,60,0.13,61.84,14,2.86,5.0,12.99,12.974928088392126
55,30,2.0,45.2,12,5.75,4.17,17.02,18.852243139531684
80,50,0.51,32.0,20,3.25,5.0,14.0,11.795105838432344
55,30,0.0,50.8,12,5.75,4.17,16.34,17.87297387507882
50,20,2.0,24.0,16,4.19,4.69,15.08,17.331607625866496
64,35,1.5,46.26,16,4.19,5.0,23.15,23.157070572415858
40,30,1.0,44.4,14,2.86,5.0,11.5,11.435386211708781
64,35,1.0,42.68,16,4.19,5.0,21.56,21.476932159421
65,35,0.75,42.02,20,3.25,5.0,12.54,12.565038637129202
